"prevalence","meanMOIvar","meanPTS","meanPTSGroupBC","inverseSimpsonIndex","inverseSimpsonIndexBC","instance"
0.195,4.15225607004713,0.0408981073960224,0.0357433670898254,3683.05259333925,3373.56017644105,126
0.3505,5.015380686494,0.0319304101040683,0.0298170406706794,5875.56305256075,5051.59094223003,127
0.2085,2.24217464635435,0.0663773677623805,0.0621705967212101,1217.146695561,1043.03769484553,128
0.128,2.41566174313493,0.134548858379571,0.104655896042081,611.994759691264,673.071495229153,129
0.4555,8.3299658647204,0.0862056774024446,0.0736579477827095,3577.25133732911,3495.64536326392,130
0.355,4.93547929974321,0.0390075950887294,0.0341166844085696,4723.51418166644,4366.57476495518,131
0.178,3.94649470816932,0.0725495742684463,0.0600962402491634,1945.55421246045,1942.80550473584,132
0.2355,3.64838728089123,0.102718833421852,0.0843442079735895,1195.11899378507,1250.5151857396,133
0.3475,4.267046059396,0.0290856392024324,0.0264893125503115,5418.26243802322,4712.39145878575,134
0.147,3.07774446984277,0.151660713321537,0.122546244950845,671.414520044548,734.843731320543,135
0.4535,4.69038365760513,0.0152412081773621,0.00642202726047011,11083.178352321,19527.2904185554,136
0.2325,4.64083514252711,0.101194098682961,0.0907834498253739,1625.42789020085,1495.94972421109,137
0.4,2.75714072640657,0.0113247751660592,0.00743281299171137,8518.60239792897,9834.21040540875,138
0.3155,2.60492169530365,0.00832280323173602,0.00679392711463499,10258.8626352711,9646.10558138787,139
0.243,3.96118951151412,0.0338520295353153,0.0304029976935152,4292.60662747923,3821.53998424095,140
0.3915,3.06827559476198,0.00754152108512465,0.00679579805389935,13321.2688792773,11623.2553709395,141
0.221,2.34451820950727,0.0697413738801366,0.0543276652348902,1193.7070527676,1245.48938352432,142
0.4765,8.52625209013564,0.0304467892188543,0.0142452229470595,10416.6486220418,17778.1112603031,143
0.231,3.54826514904788,0.0665346638723261,0.0585361621000741,1924.73986488544,1772.34339544588,144
0.485,11.3466604049774,0.0557648952185752,0.046759843181609,7695.48615960585,7459.6665588149,145
0.32,3.38720598141161,0.100550822373342,0.0710753108569669,1090.67208369733,1447.47597894032,146
0.401,5.50003738127415,0.0534810028386628,0.0418165613887611,3761.03207590447,4039.22507909665,147
