"instance","prevalence","meanMOIvar","meanPTS","meanPTSGroupBC","inverseSimpsonIndex","inverseSimpsonIndexBC"
6860,0.1375,3.54137592576291,0.0869375381341884,0.0546019587564256,1372.37941613327,1864.66791534104
6861,0.26,4.64097174678066,0.0124020111797241,0.00876939756065627,12717.0241658215,13600.904690466
6862,0.296,2.18259354667639,0.00816900247375362,0.00558232329169122,8644.77427003835,9374.14817840056
6863,0.133,4.85536200657541,0.0256041065884986,0.0234727887669115,6519.35302806187,5628.60780058163
6864,0.2265,3.99380947922009,0.00732211243178593,0.00536061275604038,16276.4828024827,16412.1073073861
6865,0.157,2.2803249609215,0.0688563682133625,0.0612515335777341,1217.98045247567,1104.43376412149
6866,0.37,2.64676126400854,0.00926351584750083,0.0084696417416722,9672.91816435265,8347.69367761563
6867,0.437,4.49066682296924,0.00875190968504752,0.00626161691916142,17998.8383492417,19150.9304632806
6868,0.256,3.47518633695629,0.0124910017860891,0.0112112124147852,9394.12148974187,8204.01103263822
6869,0.2345,3.86358568829154,0.00544371698515204,0.00360448540177225,19906.0806729294,20726.3074865699
6870,0.4015,4.02783989581094,0.0145183164729462,0.00869368274776679,10032.7877623168,12760.6947656898
6871,0.18,3.19684300235719,0.0414235564530685,0.0113035618326669,2578.27474328909,7121.56668420975
6872,0.1635,3.63506319307593,0.00853896640090657,0.00631035571665,12389.1442212777,12218.1823268531
6873,0.1485,2.37910164861499,0.0519037211970319,0.0488620947202228,1665.64848266709,1418.14511872041
6874,0.2905,4.21633125186073,0.00644725019140161,0.00523265093133322,20232.689943074,18952.637797915
6875,0.2265,2.55879796467786,0.0445090787822164,0.0377395046436679,2059.5568630973,1938.05677233
6876,0.1605,3.95430671489331,0.0819275493441746,0.0693924295215843,1690.3396393609,1686.99194528628
6877,0.2855,1.88397218674978,0.0366593134678942,0.0185669124365847,1837.37097035091,2802.21093280721
6878,0.2045,2.79493487248974,0.00816554180364741,0.0061631466051149,10301.4802055098,10050.1544163064
6879,0.211,4.23969907437333,0.0700793441538432,0.0401665679323787,2085.61659221658,3062.4620498105
6880,0.2615,4.17849887133059,0.0145813710014972,0.00902718918168625,9874.6705918134,11940.118434044
6881,0.2815,2.35551332728586,0.00490332470866247,0.00398596980876184,13382.8628780715,12374.8331527627
6882,0.4265,5.15609089719367,0.0137628588925571,0.0113720192595428,13707.464975952,13032.9081858503
6883,0.177,4.26969337551026,0.0161272349207786,0.0136744875989904,8938.33907805678,8183.29858760002
6884,0.1535,1.93052809695024,0.046492827740167,0.025509034802454,1451.31401456006,2042.0852673844
6885,0.255,3.36293525898037,0.00826588162524518,0.00733669020560409,12757.1480899357,11161.9647505689
6886,0.115,4.38343796707954,0.0156753405304278,0.0134858864317581,8495.72126130809,7553.19248296235
6887,0.2875,3.23507451691153,0.0125601316992607,0.00796942085879167,8905.25192293954,10445.5318436059
6888,0.4055,2.71839136648428,0.00457102836285571,0.00366990972210184,18222.4877424076,17109.1995287172
6889,0.3255,4.65333211998921,0.00726538576307898,0.00507966398800411,21104.2266238453,22433.1046606166
6890,0.325,3.13132774088482,0.0102493108106932,0.00509749742062413,10444.2303371287,14776.0743792396
6891,0.1395,3.25236666216693,0.0617079469068966,0.057837375259586,1845.84936727456,1589.12744083165
6892,0.174,2.84892037665447,0.105829058171793,0.0927305409174856,958.760442007382,902.032984529561
