"prevalence","meanMOIvar","meanPTS","inverseSimpsonIndex","instance"
0.447,4.84301537564918,0.0101247651726239,16825.7419353315,305
0.4105,3.58131256904455,0.0067281638428685,17414.0634481768,306
0.484,5.8852763677134,0.0112947762669968,18803.4904106262,307
0.302,3.7067021046974,0.122395851713247,1038.47927004842,308
0.432,6.58352997457821,0.0299168357964354,8384.08812905265,309
0.2985,2.33670127437471,0.0325037731893511,2497.35030566039,310
0.2865,3.26096785796284,0.102940848230331,1060.01452168573,311
0.2715,4.36752102754259,0.070565820680779,2215.96468297239,312
0.307,4.69634161817927,0.0224837889316525,7637.15118639082,313
0.357,5.48749417805297,0.0565920244730613,3547.25820047301,314
0.2665,2.28094497010456,0.0124020381074235,6133.22911581075,315
0.454,11.3781586688631,0.0685939121006332,6035.32585761055,316
0.367,4.71771286472969,0.0110213982763271,15200.2170064531,317
0.19,3.79202137919604,0.0543937384672618,2426.41173073646,318
0.442,4.05117400143707,0.0245828397182455,6079.81703247975,319
0.215,4.03106702038143,0.0395808877991995,3758.42712074091,320
0.342,2.24333246007447,0.0110799644057421,6914.2270429309,321
0.452,5.52101509167901,0.0262223986892349,7923.53842243843,322
0.43,7.95549224702214,0.079927626759523,3473.65535311761,323
0.3255,3.57656335581487,0.0386313149786379,3347.27051512137,324
0.3725,2.65682885736077,0.0156345678372773,6130.53501421324,325
0.391,4.15839330185542,0.0367446922089834,3895.1207842773,326
0.3785,3.86419119794905,0.0153153020579387,9062.37139550898,327
0.1625,2.70933620066733,0.0989148896903566,975.544699688086,328
0.4435,3.55465234476508,0.0117499828830893,10818.7908688103,329
0.246,4.21415997380076,0.0248458712967463,6004.04086094709,330
0.1515,3.51937013705038,0.0751882170641716,1668.84871984218,331
0.3395,3.09202828230975,0.0150595567010029,7162.58116046322,332
0.424,6.16302758857832,0.075516115436431,2730.81886773883,333
0.128,2.81204246326017,0.100676144781142,984.059293740826,334
0.4665,5.26702333483579,0.00717673796972938,25293.6405180739,335
0.3995,5.43297743923538,0.0539601692689215,3608.58273222206,336
0.307,5.60433187973953,0.0683428397357729,3018.16703353817,337
0.342,4.82142668198543,0.00909151932549576,18018.3840344904,338
0.2455,4.41101590030019,0.0503569654643801,3258.68421643842,339
0.2845,3.58418444800875,0.033156405891318,3973.58238898998,340
